MeetDate,G ID,Grp,State,Club,Venue,Current Race Name,Dist,Prize$$,Age,Sex,Cond,Registered Race Name,WINNER,SECOND,THIRD
1/08/2009,362,3,NSW,STC,RHIL,MISSILE STAKES,1100,125000,O,O,WFA,MISSILE STAKES,TEASING,GOLD TRIAL,TYPHOON ZED
1/08/2009,636,3,VIC,MRC,CAUL,BLETCHINGLY STAKES,1200,100000,O,O,WFA,BLETCHINGLY STAKES,LET GO THOMMO,ORANGE COUNTY,MR BARITONE
8/08/2009,446,3,NSW,AJC,RAND,SAN DOMENICO STAKES,1000,125000,3-Y-O,O,SWP,SAN DOMENICO STAKES,SHELLSCRAPE,SNIPLAZ,KISS ME KATY
8/08/2009,472,3,SA,SAJC,MORP,SPRING STAKES,1200,100000,O,O,WFA,SPRING STAKES,MIDNIGHT MUSTANG,MAGICAL PEARL,CERBERUS GAL
8/08/2009,693,4,VIC,VRC,FLEM,AURIE'S STAR HANDICAP,1200,150000,O,O,Hcp,AURIE'S STAR HANDICAP,MIC MAC,ALL AMERICAN,EL SEGUNDO
8/08/2009,137,4,WA,WATC,BLMT,BELMONT NEWMARKET,1200,75000,3YO&Up,O,Qlty,BELMONT NEWMARKET,ESCADAIRE,VAIN RAIDER,FOXY BOY
15/08/2009,335,2,VIC,MRC,CAUL,J.J. LISTON STAKES,1400,200000,3YO&Up,O,WFA,J J LISTON STAKES,PREDATORY PRICER,WHOBEGOTYOU,TYPHOON TRACY
15/08/2009,407,2,NSW,STC,RHIL,PREMIERE STAKES,1200,150000,3YO&Up,O,WFA,PREMIER STAKES,KRONER,MENTALITY,PHELAN READY
15/08/2009,704,3,NSW,STC,RHIL,THE RUN TO THE ROSES,1300,125000,3-Y-O,O,Qlty,THE RUN TO THE ROSES,DENMAN,MORE THAN GREAT,BOMBAY SLING
15/08/2009,605,3,VIC,MRC,CAUL,W W COCKRAM STAKES,1200,100000,4YO&Up,M,SWP,W W COCKRAM STAKES,CATS WHISKER,ANNESONG,FLYING RUBY
15/08/2009,604,4,VIC,MRC,CAUL,VAIN STAKES,1100,100000,3-Y-O,C&G,SWP,VAIN STAKES,STARSPANGLEDBANNER,ÉCLAIR FASTPASS,DJATALA
15/08/2009,613,4,VIC,MRC,CAUL,QUEZETTE STAKES,1100,100000,3-Y-O,F,SWP,QUEZETTE STAKES,CORSAIRE,HEADWAY,COME HITHER
22/08/2009,534,2,NSW,AJC,RAND,WARWICK STAKES,1400,150000,3YO&Up,O,WFA,WARWICK STAKES,TRUSTING,O'LONHRO,MR BARITONE
22/08/2009,460,3,NSW,AJC,RAND,SILVER SHADOW STAKES,1200,125000,3-Y-O,F,SWP,SILVER SHADOW STAKES,DEER VALLEY,MELITO,HURTLE MYRTLE
22/08/2009,523,3,NSW,AJC,RAND,UP AND COMING STAKES,1200,125000,3-Y-O,C&G,SWP,UP AND COMING STAKES,RAREFIED,SHELLSCRAPE,OFFHANDED
22/08/2009,611,4,NSW,AJC,RAND,SHOW COUNTY QUALITY HCP,1200,100000,3YO&Up,O,Qlty,SHOW COUNTY QUALITY,SWIFT ALLIANCE,BRYANNBO'S GIFT,ALBERT THE FAT
22/08/2009,626,4,NSW,AJC,RAND,TOY SHOW F-&-M QLTY HCP,1300,100000,3YO&Up,F&M,Qlty,TOY SHOW QUALITY,MOTI,MISS MARIELLE,NEDIYMS DREAM
22/08/2009,586,4,VIC,MVRC,M V,WILLIAM CROCKETT STAKES,1200,100000,3-Y-O,F,SWP,WILLIAM CROCKET STAKES,BLACK CAVIAR,MIRACULOUS MISS,ORBITING BELLE
22/08/2009,612,4,VIC,MVRC,M V,MITCHELL MCKENZIE STAKES,1200,100000,3-Y-O,C&G,,MITCHELL McKENZIE STAKES,CARRARA,UMANUGGET,NICASTRO
22/08/2009,591,4,WA,WATC,BLMT,GOODWOOD SPRINT,1300,75000,3YO&Up,O,WFA,WATC GOODWOOD SPRINT,IDYLLIC PRINCE,STAR LASER,ESADAIRE
22/08/2009,249,4,SA,SAJC,MORP,PENNY EDITION STAKES,1400,70000,O,O,WFA,PENNY EDITION STAKES,MAGICAL PEARL,OCEAN CHALLANGER,REBEL RAIDER
29/08/2009,670,1,NSW,STC,RHIL,GOLDEN ROSE STAKES,1400,1000000,3-Y-O,O,SW,GOLDEN ROSE STAKES,DENMAN,TRUSTING,STRYKER
29/08/2009,353,2,VIC,MRC,CAUL,MEMSIE STAKES,1400,200000,3YO&Up,O,WFA,MEMSIE STAKES,MIC MAC,WHOBEGOTYOU,ZARITA
29/08/2009,588,3,NSW,STC,RHIL,CONCORDE STAKES,1100,125000,3YO&Up,O,Qlty,CONCORDE STAKES,FRIDAY CREEK,MCCLINTOCK,AHDASHIM
29/08/2009,597,3,VIC,MRC,CAUL,HDF MCNEIL STAKES,1200,125000,3-Y-O,O,SWP,HDF McNEIL STAKES,STARSPANGLEBANNER,TOLLESPRIT,ÉCLAIR FASTPASS
29/08/2009,434,4,NSW,STC,RHIL,PREMIER'S CUP,1800,100000,3YO&Up,O,Qlty,PREMIER'S CUP,EMPEROR BONAPARTE,VOICE COACH,ENZEDEX EAGLE
29/08/2009,663,4,NSW,STC,RHIL,SHERACO STAKES,1100,100000,3YO&Up,F&M,Qlty,SHERACO STAKES,MADAME PEDRILLE,SEEKING ATTENTION,MORE JOYOUS
29/08/2009,301,4,VIC,MRC,CAUL,D'URBAN QUALITY STAKES,1700,100000,O,O,Hcp,HEATHERLIE HANDICAP,FIGURE OF SPEECH,SAND SWEEPER,RUBIJON
29/08/2009,694,4,VIC,MRC,CAUL,THE HEATH 1100,1100,100000,O,O,SWP,THE HEATH 1100,FIRST COMMAND,MASKED ASSASSIN,HERE DE ANGELS
2/09/2009,568,4,SA,BALAKLAVA RC,BKVA,BALAKLAVA CUP,1600,70000,O,O,Qlty,BALAKLAVA CUP,ALCOPOP,STEELMYHEART,AZTEC SMYTER
4/09/2009,595,4,NSW,WYONG RC,WYNG,WYONG GOLD CUP,2100,120000,O,O,Qlty,WYONG GOLD CUP,MR CLANGTASTIC,LODGE THE DEEDS,ENZEDEX EAGLE
4/09/2009,671,4,NSW,WYONG RC,WYNG,MONA LISA STAKES,1350,100000,O,F&M,SWP,MONA LISA STAKES,MOTI,IVORY PEGASUS,BEJEWELLED
5/09/2009,214,2,VIC,VRC,FLEM,MAKYBE DIVA STAKES,1600,400000,O,O,WFA,MAKYBE DIVA STAKES,VIGOR,TYPHOON TRACY,MASTER O'REILLY
5/09/2009,145,2,VIC,VRC,FLEM,DANEHILL STAKES,1200,250000,3-Y-O,O,SWP,DANEHILL STAKES,BLACK CAVIAR,WANTED,RAREFIED
5/09/2009,360,2,VIC,VRC,FLEM,LET'S ELOPE STAKES,1400,250000,4YO&Up,M,SWP,MILADY STAKES,CATS WHISKER,ROMNEYA,SYMPHONY MISS
5/09/2009,192,2,NSW,TATTS (NSW),RAND,CHELMSFORD STAKES,1600,150000,3YO&Up,O,WFA,CHELMSFORD STAKES,O'LONHRO,MISS MARIELLE,TRIPLE HONOUR
5/09/2009,270,2,NSW,TATTS (NSW),RAND,FURIOUS STAKES,1400,150000,3-Y-O,F,SW,FURIOUS STAKES,MELITO,HURTLE MYRTLE,LOVEMELIKEAROCK
5/09/2009,150,3,VIC,VRC,FLEM,BOBBIE LEWIS QUALITY,1200,200000,4YO&Up,O,Qlty,BOBBIE LEWIS QUALITY,SWIFT ALLIANCE,GOLD SALUTE,CHASM
5/09/2009,517,3,NSW,TATTS (NSW),RAND,TRAMWAY HCP,1400,125000,3YO&Up,O,Qlty,TRAMWAY HANDICAP,RANGIRANGDOO,STRAT'S FLYER,MURRAY'S SUN
5/09/2009,166,4,NSW,TATTS (NSW),RAND,MING DYNASTY QUALITY HCP,1400,100000,3-Y-O,C&G,Qlty,MING DYNASTY QUALITY HCP,MORE THAN GREAT,SO YOU THINK,EXCEED WITH ME
5/09/2009,720,4,VIC,VRC,FLEM,HENRY BUCKS PLATE,1400,100000,3-Y-O,O,SWP,HENRY BUCKS PLATE,CARRARA,ALOHA,STONEBLACK
5/09/2009,257,4,WA,WATC,BLMT,FARNLEY STAKES,1400,75000,3YO&Up,O,Qlty,FARNLEY STKS,IDYLLIC PRINCE,ROMAN TIME,SUPERSCENIC
12/09/2009,258,2,VIC,MVRC,M V,DATO' TAN CHIN NAM STAKES,1600,500000,O,O,WFA,JOHN F FEEHAN STAKES,WHOBEGOTYOU,MIC MAC,JOLIE'S SHINJU
12/09/2009,507,2,NSW,STC,RHIL,THEO MARKS STAKES,1400,200000,3YO&Up,O,Qlty,THEO MARKS STAKES,RACING TO WIN,ROCK KINGDOM,TRIPLE HONOUR
12/09/2009,599,2,VIC,MVRC,M V,W H STOCKS STAKES,1600,200000,4YO&Up,M,WFA,W H STOCKS STAKES,ZARITA,CATS WHISKER,SOUL DIVA
12/09/2009,651,3,VIC,MVRC,M V,MCEWAN STAKES,1000,200000,O,O,WFA,IAN McEWEN TROPHY,NICCONI,MORGAN DOLLAR,SECRET FLYER
12/09/2009,324,3,NSW,STC,RHIL,KINGSTON TOWN STAKES,2000,125000,3YO&Up,O,Qlty,KINGSTON TOWN STAKES,READY TO LIFT,VOICE COACH,GOD'S HAND
12/09/2009,653,3,NSW,STC,RHIL,RESEARCH STAKES,1200,125000,3YO&Up,F&M,Qlty,RESEARCH STAKES,HOT DANISH,MADAME PEDRILLE,BEAUCOUP
12/09/2009,373,4,SA,SAJC,MORP,LINDSAY PARK GUINEAS,1600,70000,3-Y-O,F,SW,MORPHETTVILLE GUINEAS,MAJESTIC MUSIC,MISS WITH ATTITUDE,MY AMICI
