MeetDate,G ID,Grp,State,Club,Venue,Current Race Name,Dist,Prize$$,Age,Sex,Cond,Registered Race Name,First,Second,Third
31/07/2010,636,3,VIC,MRC,CAUL,BLETCHINGLY STAKES,1200,125000,O,O,WFA,BLETCHINGLY STAKES,SHOOT OUT,STANZOUT,VELOCITEA
7/08/2010,362,3,NSW,AJC,RAND,MISSILE STAKES,1200,125000,3YO&Up,O,WFA,MISSILE STAKES,LOVE CONQUERS ALL,DANLEIGH,SNIPER'S BULLET
7/08/2010,446,3,NSW,AJC,RAND,SAN DOMENICO STAKES,1000,125000,3-Y-O,O,SWP,SAN DOMENICO STAKES,OBSEQUIOUS,SOLAR CHARGED,DECISION TIME
7/08/2010,693,3,VIC,VRC,FLEM,AURIE'S STAR HANDICAP,1200,150000,O,O,Hcp,AURIE'S STAR HANDICAP,ELUSIVE TOUCH,LEICA LARRIKIN,BELTROIS
7/08/2010,137,4,WA,WATC,BLMT,BELMONT NEWMARKET,1200,75000,3YO&Up,O,Qlty,BELMONT NEWMARKET,CASPER COWBOY,SHOCK VALUE,DANTE'S VOLONTE
14/08/2010,335,2,VIC,MRC,CAUL,J.J. LISTON STAKES,1400,200000,3YO&Up,O,WFA,J J LISTON STAKES,SHOOT OUT,PREDATORY PRICER,HEART OF DREAMS
14/08/2010,472,3,SA,SAJC,MORP,SPRING STAKES,1200,115000,O,O,WFA,SPRING STAKES,REBEL RAIDER,ZAIETA,LIKABLE WILL
14/08/2010,605,3,VIC,MRC,CAUL,W W COCKRAM STAKES,1200,125000,4YO&Up,M,SWP,W W COCKRAM STAKES,RHYTHM IN PARIS,RESPONSE,LADY LYNETTE
14/08/2010,704,3,NSW,STC,RHIL,THE RUN TO THE ROSES,1300,125000,3-Y-O,O,Qlty,THE RUN TO THE ROSES,SQUAMOSA,MASQUERADER,TESTARHYTHM
14/08/2010,604,4,VIC,MRC,CAUL,VAIN STAKES,1100,100000,3-Y-O,C&G,SWP,VAIN STAKES,TOORAK TOFF,SOUL,STAR WITNESS
14/08/2010,613,4,VIC,MRC,CAUL,QUEZETTE STAKES,1100,100000,3-Y-O,F,SWP,QUEZETTE STAKES,PARIPIQUE,CRYSTAL LILY,ENZED GIRL
14/08/2010,654,4,NSW,STC,RHIL,STARLIGHT STAKES,1100,100000,3YO&Up,O,Qlty,STARLIGHT STAKES,WINTER KING,CENTENNIAL PARK,MOTSPUR
14/08/2010,727,4,VIC,MRC,CAUL,REGAL ROLLER STAKES,1200,100000,3YO&Up,O,Hcp,REGAL ROLLER STAKES,JEUNEYMAN,SOUND JOURNEY,NICASTRO
21/08/2010,534,2,NSW,AJC,RAND,WARWICK STAKES,1400,175000,3YO&Up,O,WFA,WARWICK STAKES,METAL BENDER,TRIPLE HONOUR,DANLEIGH
21/08/2010,460,3,NSW,AJC,RAND,SILVER SHADOW STAKES,1200,125000,3-Y-O,F,SWP,SILVER SHADOW STAKES,PARABLES,SOLAR CHARGED,CHANCE BYE
21/08/2010,523,3,NSW,AJC,RAND,UP AND COMING STAKES,1200,125000,3-Y-O,C&G,SWP,UP AND COMING STAKES,BLACKBALL,BUFFERING,SEA LORD
