MeetDate,G ID,Grp,State,Club,Venue,Current Race Name,Dist,Prize$$,Age,Sex,Cond,Registered Race Name
01-Aug-15,737,4,NSW,ATC,RHIL,WINTER CHALLENGE,1500,100000,3YO&Up,O,Qlty,WINTER CHALLENGE
08-Aug-15,362,2,NSW,ATC,RAND,MISSILE STAKES,1200,175000,3YO&Up,O,WFA,MISSILE STAKES
08-Aug-15,726,4,NSW,ATC,RAND,THE ROSEBUD,1200,100000,3-Y-O,O,Qlty,THE ROSEBUD
08-Aug-15,472,3,SA,SAJC,MORP,DAVID COLES AM SPRING STAKES,1200,120000,O,O,WFA,SPRING STAKES
08-Aug-15,693,3,VIC,VRC,FLEM,AURIE'S STAR HANDICAP,1200,150000,O,O,Hcp,AURIE'S STAR HANDICAP
08-Aug-15,137,4,WA,WATC,BLMT,BELMONT NEWMARKET,1200,100000,3YO&Up,O,SWP,BELMONT NEWMARKET
15-Aug-15,446,3,NSW,ATC,RHIL,SAN DOMENICO STAKES,1100,125000,3-Y-O,O,SWP,SAN DOMENICO STAKES
15-Aug-15,335,2,VIC,MRC,CAUL,P.B.LAWRENCE STAKES,1400,200000,3YO&Up,O,WFA,J J LISTON STAKES
15-Aug-15,604,3,VIC,MRC,CAUL,VAIN STAKES,1100,150000,3-Y-O,C&G,SWP,VAIN STAKES
15-Aug-15,613,3,VIC,MRC,CAUL,QUEZETTE STAKES,1100,150000,3-Y-O,F,SWP,QUEZETTE STAKES
15-Aug-15,727,4,VIC,MRC,CAUL,REGAL ROLLER STAKES,1200,120000,3YO&Up,O,Hcp,REGAL ROLLER STAKES
20-Aug-15,716,4,NSW,HAWKESBURY RC,HAWK,ROWLEY MILE,1600,100000,O,O,Hcp,ROWLEY MILE
22-Aug-15,534,2,NSW,ATC,RAND,WARWICK STAKES,1400,250000,3YO&Up,O,WFA,WARWICK STAKES
22-Aug-15,460,2,NSW,ATC,RAND,SILVER SHADOW STAKES,1200,175000,3-Y-O,F,SWP,SILVER SHADOW STAKES
22-Aug-15,523,3,NSW,ATC,RAND,UP AND COMING STAKES,1300,125000,3-Y-O,O,Qlty,UP AND COMING STAKES
22-Aug-15,611,3,NSW,ATC,RAND,SHOW COUNTY QUALITY HCP,1200,125000,3YO&Up,O,Qlty,SHOW COUNTY QUALITY
22-Aug-15,626,3,NSW,ATC,RAND,TOY SHOW F-&-M QLTY HCP,1300,125000,3YO&Up,F&M,Qlty,TOY SHOW QUALITY
22-Aug-15,249,4,SA,SAJC,MORPP,PENNY EDITION STAKES,1400,100000,O,O,WFA,PENNY EDITION STAKES
22-Aug-15,612,4,VIC,MVRC,M V,MITCHELL MCKENZIE STAKES,1200,120000,3-Y-O,C&G,SWP,MITCHELL McKENZIE STAKES
22-Aug-15,741,4,VIC,MVRC,M V,CARLYON STAKES,1000,120000,4YO&Up,O,SWP,SPRING PREVIEW
22-Aug-15,591,4,WA,WATC,BLMT,IDYLLIC PRINCE STAKES,1300,100000,3YO&Up,O,WFA,WATC GOODWOOD SPRINT
29-Aug-15,704,3,NSW,ATC,RHIL,THE RUN TO THE ROSE,1200,175000,3-Y-O,O,SWP,THE RUN TO THE ROSE
29-Aug-15,434,4,NSW,ATC,RHIL,PREMIER'S CUP,1800,100000,3YO&Up,O,Qlty,PREMIER'S CUP
29-Aug-15,353,1,VIC,MRC,CAUL,MEMSIE STAKES,1400,400000,3YO&Up,O,WFA,MEMSIE STAKES
29-Aug-15,605,3,VIC,MRC,CAUL,WILLIAM HILL PRINT SERIES HEAT 1 STAKES,1200,150000,4YO&Up,M,SWP,W W COCKRAM STAKES
29-Aug-15,597,3,VIC,MRC,CAUL,HDF MCNEIL STAKES,1200,150000,3-Y-O,O,SWP,H.D.F. McNEIL STAKES
29-Aug-15,694,3,VIC,MRC,CAUL,THE HEATH 1100,1100,150000,O,O,SWP,THE HEATH 1100
29-Aug-15,301,4,VIC,MRC,CAUL,HEATHERLIE HANDICAP,1700,120000,O,O,Hcp,HEATHERLIE HANDICAP
02-Sep-15,568,4,SA,BALAKLAVA RC,BKVA,BALAKLAVA CUP,1600,100000,O,O,Qlty,BALAKLAVA CUP
04-Sep-15,595,4,NSW,WYONG RC,WYNG,WYONG GOLD CUP,2100,150000,O,O,Qlty,WYONG GOLD CUP
04-Sep-15,671,4,NSW,WYONG RC,WYNG,MONA LISA STAKES,1350,100000,O,F&M,SWP,MONA LISA STAKES
05-Sep-15,192,2,NSW,TATTERSALLS (NSW),RAND,CHELMSFORD STAKES,1600,250000,3YO&Up,O,WFA,CHELMSFORD STAKES
05-Sep-15,270,2,NSW,TATTERSALLS (NSW),RAND,FURIOUS STAKES,1200,175000,3-Y-O,F,SW,FURIOUS STAKES
05-Sep-15,517,2,NSW,TATTERSALLS (NSW),RAND,TRAMWAY HCP,1400,175000,3YO&Up,O,SWP,TRAMWAY HANDICAP
