MeetDate,G ID,Grp,State,Club,Venue,Current Race Name,Dist,Prize$$,Age,Sex,Unnamed: 11,Registered Race Name
04-Aug-18,362,2,NSW,ATC,RAND,MISSILE STAKES,1200,175000,3YO&Up,O,WFA,MISSILE STAKES
11-Aug-18,726,4,NSW,ATC,RHIL,THE ROSEBUD,1200,150000,3-Y-O,O,Qlty,THE ROSEBUD
11-Aug-18,693,3,VIC,VRC,FLEM,AURIE'S STAR HANDICAP,1200,150000,O,O,Hcp,AURIE'S STAR HANDICAP
18-Aug-18,534,1,NSW,ATC,RAND,WINX STAKES,1400,500000,3YO&Up,O,WFA,WARWICK STAKES
18-Aug-18,460,2,NSW,ATC,RAND,SILVER SHADOW STAKES,1200,175000,3-Y-O,F,SWP,SILVER SHADOW STAKES
18-Aug-18,523,3,NSW,ATC,RAND,UP AND COMING STAKES,1300,160000,3-Y-O,O,Qlty,UP AND COMING STAKES
18-Aug-18,611,3,NSW,ATC,RAND,SHOW COUNTY QUALITY HCP,1200,160000,3YO&Up,O,Qlty,SHOW COUNTY QUALITY
18-Aug-18,626,3,NSW,ATC,RAND,TOY SHOW F-&-M QLTY HCP,1300,160000,3YO&Up,F&M,Qlty,TOY SHOW QUALITY
18-Aug-18,472,3,SA,SAJC,MORP,DAVID COLES AM SPRING STAKES,1200,120000,O,O,WFA,SPRING STAKES
18-Aug-18,335,2,VIC,MRC,CAUL,P.B.LAWRENCE STAKES,1400,200000,3YO&Up,O,WFA,J J LISTON STAKES
18-Aug-18,604,3,VIC,MRC,CAUL,VAIN STAKES,1100,150000,3-Y-O,C&G,SWP,VAIN STAKES
18-Aug-18,613,3,VIC,MRC,CAUL,QUEZETTE STAKES,1100,150000,3-Y-O,F,SWP,QUEZETTE STAKES
18-Aug-18,727,4,VIC,MRC,CAUL,REGAL ROLLER STAKES,1200,120000,3YO&Up,O,Hcp,REGAL ROLLER STAKES
18-Aug-18,137,4,WA,WATC,BLMT,BELMONT NEWMARKET,1200,100000,3YO&Up,O,Qlty,BELMONT NEWMARKET
23-Aug-18,716,4,NSW,HAWKESBURY RC,HAWK,ROWLEY MILE,1600,140000,O,O,Hcp,ROWLEY MILE
25-Aug-18,446,3,NSW,ATC,RHIL,SAN DOMENICO STAKES,1100,160000,3-Y-O,O,SWP,SAN DOMENICO STAKES
25-Aug-18,166,3,NSW,ATC,RHIL,MING DYNASTY QUALITY HCP,1400,160000,3-Y-O,O,Qlty,MING DYNASTY QUALITY HCP
25-Aug-18,434,3,NSW,ATC,RHIL,PREMIER'S CUP,1900,150000,3YO&Up,O,Qlty,PREMIER'S CUP
25-Aug-18,612,4,VIC,MVRC,M V,MITCHELL MCKENZIE STAKES,1200,120000,3-Y-O,C&G,SWP,MITCHELL McKENZIE STAKES
