Age,Club,Cond,Current Race Name,Dist,First,G ID,Grp,MeetDate,Prize$$,Registered Race Name,SECOND,Second,Sex,State,THIRD,Third,Unnamed: 11,Venue,WINNER
O,MRC,,BLETCHINGLY STAKES,1200,,636,3,2019-07-27,150000,BLETCHINGLY STAKES,,,O,VIC,,,WFA,CAUL,
2&3-Y-O,SAJC,,LIGHTNING STAKES,1050,,331,4,2019-07-27,100000,SAJC LIGHTNING STAKES,,,O,SA,,,SW,MORP,
3YO&Up,ATC,,WINTER CHALLENGE,1500,,737,4,2019-07-27,150000,WINTER CHALLENGE,,,O,NSW,,,Qlty,RHIL,
3YO,WATC,,BELMONT CLASSIC,2200,,634,4,2019-07-20,"$100,000",BELMONT CLASSIC,,,,WA,,,SW,BLMT,
2-Y-O,SAJC,,OAKLANDS PLATE,1400,,386,4,2019-07-20,100000,OAKLANDS PLATE,,,O,SA,,,SWP,MORP,
O,TATTS RC QLD,,TATTERSALL'S MILE,1600,,551,4,2019-07-20,100000,TATTERSALL'S MILE,,,O,QLD,,,Qlty,DOOM,
3YO&Up,ATC,,WINTER STAKES,1400,,548,4,2019-07-13,140000,WINTER HANDICAP,,,O,NSW,,,Qlty,RHIL,
O,MRC,,SIR JOHN MONASH STAKES,1100,,367,3,2019-07-13,150000,SIR JOHN MONASH STAKES,,,O,VIC,,,WFA,CAUL,
O,SUN COAST TC,,QUEENSLAND CUP,3200,,418,4,2019-07-13,150000,QUEENSLAND CUP,,,O,QLD,,,Qlty,SCTC,
O,CLARENCE RIV JC,,GRAFTON CUP,2350,,287,4,2019-07-11,150000,GRAFTON CUP,,,O,NSW,,,Qlty,GRAF,
O,CLARENCE RIV JC,,RAMORNIE HANDICAP,1200,,422,4,2019-07-10,140000,RAMORNIE HANDICAP,,,O,NSW,,,Qlty,GRAF,
3-Y-O,WATC,,BELMONT OAKS,2000,,138,4,2019-07-06,100000,BELMONT OAKS,,,F,WA,,,SW,BLMT,
3-Y-O,WATC,,AQUANITA STAKES,2000,,113,4,2019-07-06,100000,AQUANITA STKS,,,C&G,WA,,,SW,BLMT,
2-Y-O,VRC,,TAJ ROSSI SERIES FINAL,1600,,278,4,2019-07-06,120000,GIBSON CARMICHAEL STAKES,,,O,VIC,,,Hcp,FLEM,
3-Y-O,VRC,,A.R. CRESWICK STAKES,1200,,274,4,2019-07-06,120000,A.R. CRESWICK STAKES,,,O,VIC,,,SWP,FLEM,
3YO&Up,VRC,,ALL VICTORIAN SPRINT FINAL,1200,,744,4,2019-07-06,150000,ALL VICTORIAN SPRINT FINAL,,,O,VIC,,,Hcp,FLEM,
3YO&Up,VRC,,VRC WINTER CHAMPIONSHIP,1600,,429,4,2019-07-06,150000,VRC WINTER CHAMPIONSHIP,,,O,VIC,,,Hcp,FLEM,
3-Y-O,SUN COAST TC,,SUNSHINE COAST GUINEAS,1600,,708,3,2019-06-29,125000,SUNSHINE COAST GUINEAS,,,O,QLD,,,SW,SCTC,
